StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Prolific-ID,Q3,Q4,Q5_1,Q5_2,Q5_7,Q6,Q7,Q8,Q9,Q9_9_TEXT,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q33_4_TEXT,Q34,Q35,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understood the information above and I agree to voluntary participate in this study.,What is your Prolific ID? Note: it should auto-fill,How would you describe your current knowledge of AI?,Are you using generative AI tools like ChatGPT outside of work?,"How familiar are you with the following generative AI tools? - Text generation (ChatGPT, Gemini, Claude)","How familiar are you with the following generative AI tools? - Image generation (DALL-E, Midjourney)","How familiar are you with the following generative AI tools? - Speech generation (Descript, ElevenLabs, Resemble.ai)",How confident are you in your ability to use generative AI in your current job responsibilities?,A growing number of companies are restricting the use of ChatGPT and other AI tools internally. Are you allowed to use ChatGPT at your workplace?,Are you using generative AI tools like ChatGPT at work?,Which AI tools are you currently using at work? - Selected Choice,Which AI tools are you currently using at work? - Other - Text,For what purposes are you using AI at work? - Selected Choice,For what purposes are you using AI at work? - Other - Text,"In some professions, the use of AI is controversial. In your role, do you see any issues or concerns with using AI (e.g., an artist using AI for creative work or a doctor using AI for diagnosing patients)?","How interested are you in learning to use generative AI tools (e.g., ChatGPT, DALLÂ·E) to enhance your work in your current role?",How much time are you willing to spend on learning new generative AI tools per week?,What AI topics would you be most interested in learning about?,"What is your preferred method of learning new skills, such as using AI tools? - Selected Choice","What is your preferred method of learning new skills, such as using AI tools? - Other - Text","What barriers, if any, prevent you from learning AI tools or technologies? - Selected Choice","What barriers, if any, prevent you from learning AI tools or technologies? - Other - Text",Does your company provide enough support for employee training and development?,"In the past year (within the last 12 months), have you participated in any AI-related training, conference, or workshop funded by your company?",Do you think it is important for employees in your company to learn about new AI tools?,How would you rate your current job satisfaction?,Do you think the use of AI tools at your company affects your job satisfaction?,How comfortable are you with the idea of integrating AI tools into your daily work tasks?,Do you think using AI tools could help you complete your work faster?,Do you think using AI tools could help reduce errors in your work?,Do you believe that your company's use of AI tools puts your current job at risk?,Do you believe your ability to use AI tools contributes positively to your job security?,Which industry does your company operate in?,What is your role or department in the company?,What is the size of your company?,What is your company's annual revenue?,List of Countries,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is the highest level of education you have completed?,How old are you?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID23""}","{""ImportId"":""QID59""}","{""ImportId"":""QID52""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_9_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_11_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID12""}","{""ImportId"":""QID43""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_7_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_9_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID20""}","{""ImportId"":""QID58""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID45""}","{""ImportId"":""QID5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_4_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID53""}","{""ImportId"":""PROLIFIC_PID""}"
2024-09-30 15:25:55,2024-09-30 15:26:57,Survey Preview,,100,61,True,2024-09-30 15:26:57,R_8ROpmDdiy6hYKAd,,,,,51.5883,4.8042,preview,EN,Yes,12,I am aware of AI but I haven't used any AI tools,"Yes, I have used them occasionally.",5,5,7,Not very confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",DALLÂ·E,,Automating repetitive tasks,,"Yes, I see significant issues or concerns with using AI in my role.",Neutral,1-3 hours,Image generation,Hands-on practice through projects or assignments,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, but such opportunities were offered within the last year.","No, it is not very important.",Neither satisfied nor dissatisfied,"Yes, AI has significantly improved my job satisfaction",Neutral,Might or might not,Probably not,Definitely not,Definitely not,Healthcare and Pharmaceuticals,Operations,Fewer than 5 employees,â‚¬1 million to â‚¬5 million,Armenia,Male,,Less than high school,25-34 years old,
2024-09-30 15:34:16,2024-09-30 15:36:38,IP Address,5.146.132.253,100,141,True,2024-09-30 15:36:39,R_2lnmn9ItoIScqBw,,,,,51.4639,7.2502,anonymous,EN,Yes,6605c195e4727703228ef777,I have no knowledge of AI,"Yes, I use them regularly.",8,8,3,Neutral,"Yes, but there are some restrictions or guidelines.",Rarely,"ChatGPT,Microsoft Copilot",,Automating repetitive tasks,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,Reading documentation or manuals,Watching video tutorials",,"Lack of time,Lack of access to resources or training",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Neutral,Probably not,Probably not,Definitely not,Might or might not,Finance and Insurance,Administrative,More than 250 employees,I do not know,Germany,Male,,High school diploma or equivalent,55-64 years old,6605c195e4727703228ef777
2024-09-30 15:33:56,2024-09-30 15:36:42,IP Address,213.81.156.126,100,166,True,2024-09-30 15:36:42,R_8hAWYwXpiTglZvR,,,,,48.8864,21.6752,anonymous,EN,Yes,663ad1e9c4066faf455c913d,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,7,5,Not very confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,Microsoft Copilot",,Other,,Iâ€™m not sure.,Somewhat interested,3-5 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,"Lack of support from management or organization,Concern that AI may not be relevant to my role,Fear of AI replacing jobs",,Iâ€™m not sure.,"Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Extremely satisfied,"Yes, AI has slightly improved my job satisfaction",Very uncomfortable,Probably yes,Probably yes,Probably yes,Probably yes,Scientific or Technical Services,IT & Technical Support,More than 250 employees,â‚¬10 million to â‚¬50 million,Slovakia,Female,,Bachelor's degree,25-34 years old,663ad1e9c4066faf455c913d
2024-09-30 15:34:40,2024-09-30 15:37:00,IP Address,130.25.152.228,100,140,True,2024-09-30 15:37:01,R_8eJ9iFhhZqdyNHz,,,,,37.4925,15.0701,anonymous,EN,Yes,664c8166a7f70060beb205b3,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",9,5,3,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,Microsoft Copilot",,"Generating content (e.g., text, images, code),Customer support (e.g., chatbots)",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,Less than 1 hour,Image generation,Watching video tutorials,,Fear of AI replacing jobs,,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,"No, AI has slightly decreased my job satisfaction",Neutral,Probably yes,Definitely yes,Definitely yes,Probably yes,"Arts, Entertainment, and Recreation",Creative & Design,50-100 employees,I do not know,Italy,Female,,Bachelor's degree,35-44 years old,664c8166a7f70060beb205b3
2024-09-30 15:35:09,2024-09-30 15:38:12,IP Address,94.8.202.72,100,183,True,2024-09-30 15:38:13,R_25McYZWcxSJZ24F,,,,,53.8096,-1.4426,anonymous,EN,Yes,5ca73fcf7067e70001f7a41f,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,6,0,0,Somewhat confident,"Yes, but there are some restrictions or guidelines.","No, I do not use them at work.",None of the above,,Other,To learn about topics,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,Less than 1 hour,Text generation,"Self-paced online courses,Watching video tutorials",,"Lack of time,Lack of access to resources or training",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably not,Probably not,Might or might not,"Education (K-12, College, University, Adult)",Research & Development,More than 250 employees,I do not know,United Kingdom of Great Britain and Northern Ireland,Female,,Master's degree,25-34 years old,5ca73fcf7067e70001f7a41f
2024-09-30 15:35:17,2024-09-30 15:38:13,IP Address,173.35.128.80,100,176,True,2024-09-30 15:38:14,R_73wlnypWL6u7huZ,,,,,45.4147,-65.9688,anonymous,EN,Yes,5d9f4d5f3cac2b0016c79242,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,4,4,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,DALLÂ·E",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Enhancing productivity or workflow",,"No, I donâ€™t see any problems with using AI in my role.",Very interested,1-3 hours,Image generation,Self-paced online courses,,Lack of time,,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Probably yes,Definitely not,Definitely yes,Hotel and Food Services,Executive & Management,10-49 employees,"Less than â‚¬500,000",Canada,Male,,Bachelor's degree,25-34 years old,5d9f4d5f3cac2b0016c79242
2024-09-30 15:35:04,2024-09-30 15:38:19,IP Address,163.116.164.120,100,194,True,2024-09-30 15:38:20,R_8roazzjkrHbpyLy,,,,,-26.2309,28.0583,anonymous,EN,Yes,60f408c8685211bbaf183509,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",8,0,2,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",Microsoft Copilot,,Decision-making assistance,,"No, I donâ€™t see any problems with using AI in my role.",Very interested,3-5 hours,"Text generation,Image generation","Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of access to resources or training,Difficulty understanding the concepts,Uncertainty about where to start",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat dissatisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat uncomfortable,Probably yes,Definitely yes,Might or might not,Might or might not,Retail,Operations,More than 250 employees,â‚¬1 million to â‚¬5 million,South Africa,Female,,Bachelor's degree,18-24 years old,60f408c8685211bbaf183509
2024-09-30 15:35:38,2024-09-30 15:38:29,IP Address,94.4.77.191,100,170,True,2024-09-30 15:38:29,R_2TEN9hv1f5BisYV,,,,,54.9912,-1.5336,anonymous,EN,Yes,5ed0c66875039f000b4e3897,I am aware of AI but I haven't used any AI tools,"No, I have not used them.",0,0,0,Not confident,"No, it is banned at my workplace.","No, I do not use them at work.",None of the above,,None of the above,,"No, I donâ€™t see any problems with using AI in my role.",Very interested,1-3 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,Lack of time,,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Extremely satisfied,AI has no impact on my job satisfaction,Very comfortable,Definitely yes,Definitely yes,Probably not,Probably yes,Finance and Insurance,IT & Technical Support,More than 250 employees,I do not know,United Kingdom of Great Britain and Northern Ireland,Male,,High school diploma or equivalent,35-44 years old,5ed0c66875039f000b4e3897
