Start Time,End Time,Sentence
00:02.240,00:04.260,"No, tía, no, no."
00:04.880,00:06.280,¿Por qué hace eso?
00:06.400,00:12.168,Nunca he pensado en ser infiel hasta ahora.
00:12.344,00:14.460,"Es que no lo entiendo, tío."
00:15.920,00:17.416,Es que no lo reconozco.
00:17.528,00:18.840,"Normal, normal."
00:19.000,00:26.168,"El genominó Beauty Yo creo que no es una trola, tía."
00:26.264,00:27.500,Que le gustas.
00:29.200,00:51.480,¿Se van a li te has dado cuenta que la quieres más de lo que tú piensas y que no puedes perderla y empezar tu vida sin ella?
00:53.580,00:57.360,"No es la pareja más bonita la nuestra, no."
01:00.540,01:01.364,Dime qué pasa.
01:01.412,01:02.084,No he hecho nada.
01:02.132,01:02.452,Nico.
01:02.516,01:02.900,Nico.
01:02.980,01:04.120,No podéis Habla.
01:08.360,01:09.824,Creo que es el momento perfecto.
01:09.872,01:11.100,Ya te lo digo yo.
01:46.340,01:49.164,"No fue un polvo, fue una toma de contacto."
01:49.212,01:51.720,Que no quiero que me vean ahí pegándome el polvo de mi vida.
01:55.140,01:56.588,No te creo.
01:56.684,01:58.396,¿Cuándo fue la última vez que os visteis?
01:58.508,01:58.956,Octubre.
01:58.988,02:00.188,¿Y qué pasó entre vosotros?
02:00.284,02:03.580,Me encontré con Álvaro en una discoteca juntos y pasamos una noche juntos.
02:03.660,02:04.828,David sabe lo que hay.
02:04.884,02:07.052,Nosotros en ese momento no estábamos como pareja.
02:07.116,02:08.620,No lo cont contamos y punto.
02:11.360,02:14.600,"A mí lo que me duele es que mi novio lo va a ver, tío."
02:14.680,02:16.584,Cómo me da algo porque tú estás aquí.
02:16.632,02:23.112,"Me güero, pero vas esta conexión con una persona aquí te juro por Dios que yo tampoco me gusta mucho."
02:23.216,02:24.420,Cada día más.
02:25.440,02:26.504,Te estás dejando llevar.
02:26.552,02:28.184,Me estoy dejando llevar por lo que siento.
02:28.312,02:31.432,Y siento que no le tengo que poner cuernos a mi novia ni de coña.
02:31.576,02:32.904,No estás mucho Moni.
02:32.952,02:38.452,Nunca he pensado en ser infiel hasta ahora.
02:38.616,02:42.064,Yo a veces me enfado porque no entretengo al 100.
02:42.074,02:42.800,%.
02:44.420,02:46.924,"Chicos, bienvenidos a la hoguera."
02:46.972,02:49.932,Álvaro fue un punto de inflexión en mi relación.
02:49.996,02:52.636,No me preocupa absolutamente nada porque María se ríe de él.
02:52.708,02:55.040,"Si ahora aquí le hace caso, sería surrealista."
02:56.260,02:57.916,"Pero qué pollas, tío."
02:58.028,03:03.292,No me gusta que lleguen a la cama porque debajo de las sábanas la noche es muy traicionera.
03:03.356,03:05.356,No creo que quieras hacer un borrón y ya está.
03:05.428,03:07.356,"Sí, sí, yo soy así."
03:07.508,03:08.828,Te saco de mi vida para siempre.
03:08.884,03:11.928,Teresa yendo a la pin no sé qué coño ha visto porque no ha visto nada.
03:12.024,03:13.896,Y está hablando de unas formas de mí que no voy a permitir.
03:13.928,03:15.340,Y no tengo ganas de estar aquí.
03:16.400,03:19.400,¿Es solo Napoli el que busca a Ana?
03:19.480,03:20.872,"Sí, yo veo que es él."
03:21.056,03:21.980,Seguro.
03:24.080,03:25.624,Cago en mi puta madre.
03:25.752,03:27.820,"Cago en mi puta madre, tío."
03:28.240,03:32.328,Los dos habéis mantenido relaciones sexuales en la isla de las Tentaciones.
03:32.424,03:32.840,Correcto.
03:32.920,03:34.472,"¿Entonces, por qué estás tan enfadado?"
03:34.536,03:35.432,Porque yo lo he hecho.
03:35.496,03:37.848,Porque ella se ha liado con él desde el primer día.
03:37.904,03:38.648,¿Te vas a reír de mí?
03:38.664,03:39.768,¿Y me río yo de ti?
03:39.864,03:50.200,"Este es el collar del hemos decidido vetar a Álvaro porque como ya han tenido algo antes, quizás eso es más peligroso."
03:52.140,03:54.600,"Chicas, bienvenidas a la hoguera."
03:55.820,03:57.012,"Qué asco, hijo."
03:57.076,03:57.988,Qué asco.
03:58.084,03:58.356,Madre.
03:58.388,03:59.080,Mía.
04:00.460,04:01.940,Me cago mi rata.
04:02.100,04:02.964,"Que no, mi novio."
04:03.012,04:04.280,¿La habéis visto a mi novio?
04:05.100,04:06.388,"Que va, tío, que va."
04:06.524,04:27.940,"Déjame que me qué guarrillas esta, tío."
04:32.200,04:33.296,"Que no puedo con esto, tío."
04:33.328,04:37.500,Que no puedo con esto de que los he visto dándose un beso ya.
04:38.760,05:05.770,"Marieta, por favor, me gustaría que volvieras a la hoguera y se me duermen las putas manos, macho, que me Marieta, por favor, atiéndeme."
05:07.630,05:09.210,Tienes que ser paciente.
05:10.230,05:12.930,Todavía no has visto imágenes de Álex.
05:13.270,05:14.894,Es el turno de María.
05:15.022,05:16.770,Tendrás tiempo de verlas.
05:17.750,05:20.478,"Trata de estar tranquila, por favor."
05:20.654,05:21.886,"Lo siento, de verdad, María."
05:21.918,05:26.290,"Lo siento, lo siento, lo siento."
05:28.310,05:29.330,Es usted.
05:33.190,05:34.110,Lo siento por esto.
05:34.150,05:34.890,Que no.
05:40.870,05:46.290,"¿María, cuéntame, por favor, qué es lo que te han parecido estas imágenes?"
05:47.510,05:51.970,Que me he quedado ya descolocado por lo que hemos visto por detrás.
05:54.070,05:57.278,¿Pero cómo ves a David siendo David?
05:57.374,05:58.890,Se está pasando muy bien.
05:59.670,06:01.278,Le encanta la isla de la sentación.
06:01.294,06:04.986,¿Y te preocupa la conexión entre David y Zaira?
06:05.098,06:12.794,"Me preocupa, Sandra, que cuando llega aquí yo no pueda perdonarle y no me pueda sacar las imágenes de la cabeza por muy poco."
06:12.842,06:22.630,"Que según él porque eso sí, después él dirá no, si no he hecho nada, si no sé qué, que le conozco ya y me está jodiendo muchísimo la actitud que tiene."
06:23.010,06:27.790,"María, hay más imágenes para ti."
06:29.970,06:34.222,"Madre mía, con el niño que pierde el tiempo."
06:34.326,06:35.730,No me pidas perdón.
06:36.630,06:37.870,No me pidas perdón por esto.
06:37.910,06:38.414,Nunca jamás.
06:38.462,06:40.130,"Nunca, nunca, nunca."
06:59.870,07:01.110,"Está llorando, llorando."
07:01.190,07:03.050,Que mal se lo pasa.
07:05.070,07:05.850,Hola.
07:07.390,07:08.170,Hola.
07:09.310,07:10.518,Hazme cosquillitas.
07:10.534,07:11.734,"Así, hazme cosquillita."
07:11.782,07:15.010,Dicen tú no te has enamorado en tu vida.
07:16.030,07:18.170,"Ni tú, ni tú."
