Start Time,End Time,Sentence,Translation,Emotion
00:02.240,00:04.260,"No, tía, no, no.","No, auntie, no, no.",happiness
00:04.880,00:06.280,¿Por qué hace eso?,Why do you do that?,fear
00:06.400,00:12.168,Nunca he pensado en ser infiel hasta ahora.,I've never thought of being unfaithful until now.,sadness
00:12.344,00:14.460,"Es que no lo entiendo, tío.","I just don't get it, man.",fear
00:15.920,00:17.416,Es que no lo reconozco.,I just don't recognize him.,disgust
00:19.000,00:26.168,"El genominó Beauty Yo creo que no es una trola, tía.","Genome Beauty, I don't think she's a troll, Auntie.",surprise
00:26.264,00:27.500,Que le gustas.,He likes you.,neutral
00:29.200,00:51.480,¿Se van a li te has dado cuenta que la quieres más de lo que tú piensas y que no puedes perderla y empezar tu vida sin ella?,Have you ever realized that you love her more than you think and that you can't lose her and start your life without her?,fear
00:53.580,00:57.360,"No es la pareja más bonita la nuestra, no.","It's not the prettiest couple of us, no.",sadness
01:00.540,01:01.364,Dime qué pasa.,Tell me what's going on.,anger
01:01.412,01:02.084,No he hecho nada.,I didn't do anything.,fear
01:02.980,01:04.120,No podéis Habla.,You can't speak.,fear
01:08.360,01:09.824,Creo que es el momento perfecto.,I think it's the perfect time.,fear
01:09.872,01:11.100,Ya te lo digo yo.,I'll tell you.,fear
01:46.340,01:49.164,"No fue un polvo, fue una toma de contacto.","It wasn't a fuck, it was a touchdown.",surprise
01:49.212,01:51.720,Que no quiero que me vean ahí pegándome el polvo de mi vida.,That I don't want to be seen there hitting the dust of my life.,neutral
01:55.140,01:56.588,No te creo.,I don't believe you.,fear
01:56.684,01:58.396,¿Cuándo fue la última vez que os visteis?,When was the last time you saw each other?,sadness
01:58.988,02:00.188,¿Y qué pasó entre vosotros?,And what happened between you?,sadness
02:00.284,02:03.580,Me encontré con Álvaro en una discoteca juntos y pasamos una noche juntos.,"I ran into Álvaro at a nightclub together, and we spent a night together.",sadness
02:03.660,02:04.828,David sabe lo que hay.,David knows what's there.,happiness
02:04.884,02:07.052,Nosotros en ese momento no estábamos como pareja.,We were not a couple at the time.,surprise
02:07.116,02:08.620,No lo cont contamos y punto.,"We don't count it, period.",anger
02:11.360,02:14.600,"A mí lo que me duele es que mi novio lo va a ver, tío.","What hurts me is that my boyfriend's gonna see it, man.",fear
02:14.680,02:16.584,Cómo me da algo porque tú estás aquí.,How he gives me something because you're here.,fear
02:16.632,02:23.112,"Me güero, pero vas esta conexión con una persona aquí te juro por Dios que yo tampoco me gusta mucho.","I swear, but you're going to this connection with a person here, I swear to God, I don't like him very much either.",sadness
02:23.216,02:24.420,Cada día más.,Every day more.,happiness
02:25.440,02:26.504,Te estás dejando llevar.,You're getting carried away.,disgust
