sentence,original_emotion,predicted_emotion,notes
"My mother, aunt.",surprise,disgust,"The sentence is likely expressing disgust or distaste, possibly due to the participant's sudden introduction of a family member."
"It is a vacylon, Sandra, uncle! It is a vacilón!",happiness,surprise,"The use of 'vacilón', an old term for a man who has sex with men, suggests a strong reaction of surprise and possibly shock."
"Yes, it is true that I do not regret yesterday.",happiness,sadness,Regret is a common emotion expressed when recalling past mistakes or unpleasant experiences.
Thank you. Thank you.,happiness,happiness,"The sentence is an expression of appreciation, indicating a positive and thankful sentiment."
"-You're way too beautiful, girl.",happiness,disgust,"The phrase 'way too beautiful' implies a discomfort or surprise that the speaker finds her beauty off-putting, suggesting a negative emotion."
The look.,happiness,disgust,"The participant's reaction to seeing their partner with another person, indicating a strong sense of revulsion and disgust."
minutes.,neutral,,"Error parsing JSON: Expecting ',' delimiter: line 3 column 42 (char 77)"
"How treats her, how she speaks.",happiness,disgust,The tone implies that he's using excessive flattery or insincere compliments
See that it does not continue in this same attitude.,sadness,anger,The participant seems to be accusing the other person of maintaining a confrontational tone
It is that boy who is eating the tits to one.,disgust,disgust,Exclamatory tone and graphic language indicate strong revulsion
Miguel makes me a ring.,surprise,happiness,"The sentence implies that Miguel is getting engaged, which would likely bring happiness to the speaker."
Do not bite your lip.,anger,anger,Tone implies annoyance or frustration
I have thought about it many times.,neutral,sadness,expressing regret and longing after being separated from their partner
It has a lot of value.,happiness,neutral,"The sentence is a statement about the value of something, without expressing any emotional tone."
I have not seen a look.,sadness,fear,"The participant is reacting to the anticipation of what might be happening with their partner, indicating a sense of uncertainty and apprehension."
I need to understand ...,sadness,sadness,"inconclusive, but may be a response to uncertainty or lack of clarity about their partner's intentions"
Do you feel like? Yeah.,neutral,surprise,"The participant's tone implies they're questioning their partner's response, showing a hint of surprise at the other person's lack of emotional expression."
"My love, I'm very close to 30.",fear,happiness,"Age milestone, positive tone"
I don't care if it's Caribbean,neutral,disgust,"The participant seems to be rejecting the romantic connotations of 'Caribbean' and its association with exoticism or sensuality, possibly in an attempt to assert independence or distance themselves from the emotional connection."
And it is a kid.,surprise,disgust,The speaker's tone and reaction suggest they are extremely displeased or disgusted by the fact that the person being addressed is a child.
